task_id,claw_eval_tw_id,category,domain,risk_type,localization_strategy,current_status,issue_summary,action_taken,final_status,reviewer_needed,leaderboard_blocker,notes
task_browser_automation,T038tw_browser_automation,coding,finance_or_legal,safety_sensitive;legal_or_financial,language_polish,phase3_localized,技術編碼任務；潤飾為台灣自然用語，程式碼/檔名/指令不動,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_byok_best_practices,T020tw_byok_best_practices,research,finance_or_legal,safety_sensitive;live_web;legal_or_financial,manual_review_only,phase3_localized,可用台灣個資法/資安合規為背景；除非有 frozen reference 否則不宣稱法規細節,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,finance/legal,false,
task_contract_analysis,T049tw_contract_analysis,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,繁中合約審閱；不得提供法律定論，rubric 要求列出疑義/風險/需詢問律師,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_finance_report,T056tw_csv_finance_report,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_pension_liability,T077tw_csv_pension_liability,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_pension_ranking,T076tw_csv_pension_ranking,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_pension_risk,T078tw_csv_pension_risk,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_stock_best_worst,T055tw_csv_stock_best_worst,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,股票資料可改台灣標的；需新 fixture 並重算 expected values,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_csv_stock_trend,T053tw_csv_stock_trend,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,改台灣股票/ETF fixture（0050/2330），重算 expected values 與 grader,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_csv_stock_volatility,T054tw_csv_stock_volatility,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,股票資料可改台灣標的；需新 fixture 並重算 expected values,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_earnings_analysis,T048tw_earnings_analysis,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_email_search,T045tw_email_search,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_email_triage,T006tw_email_triage,productivity,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_eu_regulation_research,T019tw_eu_regulation_research,research,finance_or_legal,safety_sensitive;live_web;legal_or_financial,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,finance/legal,false,
task_executive_lookup,T013tw_executive_lookup,research,finance_or_legal,safety_sensitive;live_web;legal_or_financial,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,finance/legal,false,
task_financial_ratio_calculation,T047tw_financial_ratio_calculation,analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,改台灣上市櫃公司財報 fixture；rubric 扣分過度推銷/未提醒風險,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_meeting_council_budget,T111tw_meeting_council_budget,meeting_analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,會議分析；prompt 改台灣語境，英文 transcript 為固定 fixture（指示處理原文）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_meeting_gov_speaker_summary,T131tw_meeting_gov_speaker_summary,meeting_analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,會議分析；prompt 改台灣語境，英文 transcript 為固定 fixture（指示處理原文）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_openclaw_comprehension,T044tw_openclaw_comprehension,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
