Date,Region,Product,Units_Sold,Unit_Price,Revenue,Cost
2024-01-15,北部,智慧手環,150,780,117000,70200
2024-01-22,南部,藍牙耳機,200,1180,236000,141600
2024-02-03,東部,智慧手環,175,780,136500,81900
2024-02-18,中部,行動電源,90,590,53100,31860
2024-03-05,北部,藍牙耳機,220,1180,259600,155760
2024-03-21,南部,智慧手環,160,780,124800,74880
2024-04-02,東部,行動電源,110,590,64900,38940
2024-04-15,中部,智慧手環,130,780,101400,60840
2024-05-08,北部,行動電源,95,590,56050,33630
2024-05-19,南部,藍牙耳機,185,1180,218300,130980
2024-06-01,東部,智慧手環,200,780,156000,93600
2024-06-14,中部,藍牙耳機,170,1180,200600,120360
2024-07-03,北部,智慧手環,145,780,113100,67860
2024-07-20,南部,行動電源,120,590,70800,42480
2024-08-11,東部,藍牙耳機,210,1180,247800,148680
2024-08-25,中部,智慧手環,155,780,120900,72540
2024-09-06,北部,藍牙耳機,190,1180,224200,134520
2024-09-18,南部,智慧手環,180,780,140400,84240
2024-10-04,東部,行動電源,100,590,59000,35400
2024-10-22,中部,藍牙耳機,175,1180,206500,123900
2024-11-08,北部,行動電源,85,590,50150,30090
2024-11-15,南部,智慧手環,195,780,152100,91260
2024-12-03,東部,藍牙耳機,230,1180,271400,162840
2024-12-19,中部,行動電源,105,590,61950,37170
